Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
GAS1	YMR307W	GET3	YDL100C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Ast T, et al. (2013) PMID:23452858	
GAS1	YMR307W	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Ho Y, et al. (2002) PMID:11805837	
GAS1	YMR307W	HSC82	YMR186W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Kolhe JA, et al. (2023) PMID:37295430	
GAS1	YMR307W	HSP104	YLL026W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Hill SM, et al. (2016) PMID:27373154	
GAS1	YMR307W	HSP82	YPL240C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Zhao R, et al. (2005) PMID:15766533	
GAS1	YMR307W	HXT1	YHR094C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	INA1	YLR413W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	IST2	YBR086C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	KAR2	YJL034W	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Fujita M, et al. (2006) PMID:16319176	
GAS1	YMR307W	KAR2	YJL034W	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Fujita M, et al. (2006) PMID:16319176	
GAS1	YMR307W	LAA1	YJL207C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Marmorale LJ, et al. (2024) PMID:38240799	
GAS1	YMR307W	LEM3	YNL323W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	LSM1	YJL124C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Mitchell SF, et al. (2013) PMID:23222640	UV cross-linking followed by immunoprecipitation
GAS1	YMR307W	LSP1	YPL004C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	MCA1	YOR197W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Shrestha A, et al. (2019) PMID:30675380	
GAS1	YMR307W	MES1	YGR264C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Levi O and Arava YS (2021) PMID:33305314	
GAS1	YMR307W	MID2	YLR332W	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Surma MA, et al. (2011) PMID:21575114	
GAS1	YMR307W	MKC7	YDR144C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	MPT5	YGL178W	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Lapointe CP, et al. (2017) PMID:28768715	
GAS1	YMR307W	MRH1	YDR033W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	MTQ2	YDR140W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Lacoux C, et al. (2020) PMID:33166396	Mtq2-N122
GAS1	YMR307W	NMD2	YHR077C	Affinity Capture-MS	manually curated	Hit	No Modification	BioGRID	Fourati Z, et al. (2014) PMID:25277656	Table S2
GAS1	YMR307W	NOP7	YGR103W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Kofler L, et al. (2024) PMID:39209816	
GAS1	YMR307W	OST3	YOR085W	Reconstituted Complex	manually curated	Hit	No Modification	BioGRID	Mohd Yusuf SN, et al. (2013) PMID:23416356	Gas1 forms a mixed disulfide bond Ost3|Table 2
GAS1	YMR307W	OST6	YML019W	Reconstituted Complex	manually curated	Hit	No Modification	BioGRID	Mohd Yusuf SN, et al. (2013) PMID:23416356	Figure 2|Gas1 forms a mixed disulfide bond Ost6
GAS1	YMR307W	OST6	YML019W	Protein-peptide	manually curated	Hit	No Modification	BioGRID	Jamaluddin MF, et al. (2014) PMID:25118247	
GAS1	YMR307W	PAT1	YCR077C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Mitchell SF, et al. (2013) PMID:23222640	UV cross-linking followed by immunoprecipitation
GAS1	YMR307W	PDI1	YCL043C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Freije BJ, et al. (2022) PMID:35084835	cross-linked
GAS1	YMR307W	PDR5	YOR153W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	PGA2	YNL149C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	PIL1	YGR086C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Courtin B, et al. (2023) PMID:37746059	
GAS1	YMR307W	PIL1	YGR086C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	PMA1	YGL008C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Surma MA, et al. (2011) PMID:21575114	
GAS1	YMR307W	PMA1	YGL008C	Co-fractionation	manually curated	Hit	No Modification	BioGRID	Huang C and Chang A (2011) PMID:21239492	
GAS1	YMR307W	PMA1	YGL008C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	PSG1	YKL077W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	PUF2	YPR042C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Porter DF, et al. (2015) PMID:26668354	HITS-CLIP
GAS1	YMR307W	PUF3	YLL013C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Freeberg MA, et al. (2013) PMID:23409723	Puf3 protein bound to RNA subdomain: 3'UTR|Puf3 protein bound to RNA subdomain: CDS
GAS1	YMR307W	QDR2	YIL121W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	RAD53	YPL153C	Proximity Label-MS	high-throughput	Hit	No Modification	BioGRID	Hadjicharalambous A, et al. (2023) PMID:37766847	
GAS1	YMR307W	RET1	YOR207C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Bhalla P, et al. (2019) PMID:30593915	active state interactome
GAS1	YMR307W	RPC82	YPR190C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Chymkowitch P, et al. (2017) PMID:28096404	
GAS1	YMR307W	RSN1	YMR266W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	SAM50	YNL026W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Qiu J, et al. (2013) PMID:23911324	
GAS1	YMR307W	SBP1	YHL034C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Mitchell SF, et al. (2013) PMID:23222640	UV cross-linking followed by immunoprecipitation
GAS1	YMR307W	SEG1	YMR086W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	SIR2	YDL042C	Two-hybrid	manually curated	Hit	No Modification	BioGRID	Koch MR and Pillus L (2009) PMID:19541632	
GAS1	YMR307W	SIR2	YDL042C	Reconstituted Complex	manually curated	Hit	No Modification	BioGRID	Koch MR and Pillus L (2009) PMID:19541632	
GAS1	YMR307W	SIR3	YLR442C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Ho Y, et al. (2002) PMID:11805837	
GAS1	YMR307W	SND2	YLR065C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Aviram N, et al. (2016) PMID:27905431	
GAS1	YMR307W	SND3	YBR106W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	SNQ2	YDR011W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	SPO14	YKR031C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	SSO1	YPL232W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	SSO2	YMR183C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	SUA7	YPR086W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	O'Brien MJ and Ansari A (2024) PMID:37863410	
GAS1	YMR307W	TAT1	YBR069C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	TOH1	YJL171C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	TOM1	YDR457W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Sung MK, et al. (2016) PMID:27552055	
GAS1	YMR307W	TOR1	YJR066W	Co-fractionation	high-throughput	Hit	No Modification	BioGRID	Aronova S, et al. (2007) PMID:17507646	
GAS1	YMR307W	TOR2	YKL203C	Co-fractionation	high-throughput	Hit	No Modification	BioGRID	Aronova S, et al. (2007) PMID:17507646	
GAS1	YMR307W	TSC13	YDL015C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	UME6	YDR207C	Proximity Label-MS	high-throughput	Hit	No Modification	BioGRID	Kociemba J, et al. (2024) PMID:38886580	
GAS1	YMR307W	VAC14	YLR386W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	VMA10	YHR039C-A	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Khan MM, et al. (2022) PMID:34918374	
GAS1	YMR307W	XRN1	YGL173C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Courtin B, et al. (2023) PMID:37746059	
GAS1	YMR307W	YCP4	YCR004C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	YNL208W	YNL208W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	YOS9	YDR057W	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Friedmann E, et al. (2002) PMID:12077121	
GAS1	YMR307W	YPF1	YKL100C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
